gameId,league,playoffs,date,patch,t1_playerid,t1_ban1,t1_ban2,t1_ban3,t1_ban4,t1_ban5,t1_result,t2_playerid,t2_ban1,t2_ban2,t2_ban3,t2_ban4,t2_ban5,t1p1_position,t1p1_player,t1p1_champion,Columna1,t1p2_position,t1p2_player,t1p2_champion,Columna2,t1p3_position,t1p3_player,t1p3_champion,Columna3,t1p4_position,t1p4_player,t1p4_champion,Columna4,t1p5_position,t1p5_player,t1p5_champion,Columna5,t2p1_position,t2p1_player,t2p1_champion,Columna6,t2p2_position,t2p2_player,t2p2_champion,Columna7,t2p3_position,t2p3_player,t2p3_champion,Columna8,t2p4_position,t2p4_player,t2p4_champion,Columna9,t2p5_position,t2p5_player,t2p5_champion,Columna10
1360536,BRCC,0,29/04/20,10.01,Team oNe eSports,Tristana,Vel'Koz,Trundle,Lee Sin,LeBlanc,1,RED Canids,Varus,Senna,Aphelios,Rek'Sai,Karthus,sup,Panj,Thresh,10569.21,bot,pbO,Kalista,37681.06,mid,Brucer,Corki,84157.25,jng,Ryuzaki,Elise,41384.27,top,SkyBart,Jayce,100261.35,sup,Woodboy,Nautilus,11769.66,bot,TitaN,Syndra,46252.49,mid,Avenger,Irelia,17849.39,jng,Aegis,Graves,23813.95,top,Ayel,Sett,26334.44
1360549,BRCC,0,29/04/20,10.01,Intergalaxy Tigers Gaming,Lee Sin,Thresh,Renekton,Jarvan IV,Elise,0,Havan Liberty Gaming,Senna,Trundle,Varus,Morgana,Braum,sup,Nano,Lulu,6530.61,bot,Juzo,Aphelios,50323.39,mid,Deoxys,Syndra,38081.63,jng,Bgob,Graves,44590.27,top,Inoue,Sett,34700.16,sup,esA,Nautilus,18043.96,bot,flare,Miss Fortune,45516.48,mid,dyNquedo,Pantheon,32138.15,jng,CarioK,Karthus,7088.54,top,Hidan,Aatrox,44436.42
1360594,BRCC,0,29/04/20,10.01,Falkol,Malzahar,Elise,Renekton,Jayce,Diana,0,Team oNe eSports,Ezreal,Trundle,Sett,Zoe,Syndra,sup,Riyev,Maokai,32812.19,bot,Matsukaze,Senna,30951.59,mid,Evrot,Cassiopeia,29476.63,jng,Tierwulf,Gragas,23784.64,top,Buggax,Aatrox,28777.96,sup,Panj,Nautilus,14025.88,bot,pbO,Varus,55645.24,mid,Brucer,Corki,6300.25,jng,Ryuzaki,Lee Sin,32656.93,top,SkyBart,Ornn,33205.34
1360603,BRCC,0,30/04/20,10.01,Santos e-Sports,Lee Sin,Elise,Sett,LeBlanc,Karthus,1,Havan Liberty Gaming,Ekko,Varus,Senna,Camille,Olaf,sup,Hawk,Braum,19163.53,bot,Sarkis,Ashe,27895.44,mid,Rainbow,Orianna,5485.35,jng,Hyoga,Pantheon,48962.92,top,JackPoT,Fiora,47405.47,sup,esA,Nautilus,10260.18,bot,flare,Miss Fortune,37925.84,mid,dyNquedo,Irelia,20498.48,jng,CarioK,Morgana,2873.07,top,Hidan,Aatrox,21417.63
1360604,BRCC,0,30/04/20,10.01,Intergalaxy Tigers Gaming,Jarvan IV,Tristana,Thresh,Karthus,Viktor,1,RED Canids,Varus,Senna,Kalista,LeBlanc,NULL,sup,Nano,Rakan,18150.72,bot,Juzo,Xayah,79597.01,mid,Deoxys,Sylas,43241.05,jng,Bgob,Trundle,2011.01,top,Inoue,Renekton,33809.73,sup,Woodboy,Nautilus,15117.05,bot,TitaN,Aphelios,67439.87,mid,Grevthar,Corki,86982.36,jng,Aegis,Lee Sin,30679.85,top,Ayel,Sett,59708.18
1370815,BRCC,0,04/05/20,10.01,Falkol,Karthus,Pantheon,Renekton,NULL,NULL,0,Havan Liberty Gaming,Thresh,Trundle,Varus,Vayne,Aatrox,sup,Riyev,Maokai,3488.53,bot,Matsukaze,Senna,56098.56,mid,Evrot,LeBlanc,55781.95,jng,Tierwulf,Graves,59411.25,top,Buggax,Mordekaiser,38323.59,sup,esA,Tahm Kench,2371.74,bot,flare,Aphelios,87396.42,mid,dyNquedo,Galio,4072.83,jng,CarioK,Jarvan IV,18795.46,top,Hidan,Sett,41665.07
1370820,BRCC,0,05/05/20,10.01,Santos e-Sports,Renekton,Sett,Syndra,Jarvan IV,Ornn,1,RED Canids,Varus,Senna,Pantheon,Aatrox,Camille,sup,Hawk,Nautilus,11269.28,bot,Sarkis,Ashe,28615.67,mid,Rainbow,Viktor,75176.25,jng,Hyoga,Graves,49850.67,top,JackPoT,Irelia,52277.85,sup,Woodboy,Leona,11170.13,bot,TitaN,Kalista,27822.52,mid,Grevthar,Corki,38015.91,jng,Aegis,Ekko,24763.77,top,Ayel,Gangplank,36664.63
1370823,BRCC,0,05/05/20,10.01,Team oNe eSports,Rakan,Elise,Yuumi,Syndra,LeBlanc,1,Intergalaxy Tigers Gaming,Jayce,Renekton,Nautilus,Diana,Mordekaiser,sup,Panj,Thresh,19247.64,bot,pbO,Varus,50822.83,mid,Brucer,Corki,8402.68,jng,Ryuzaki,Graves,72116.13,top,SkyBart,Aatrox,61232.75,sup,Nano,Sion,25843.18,bot,Juzo,Senna,35178.16,mid,Deoxys,Sylas,47714.14,jng,Bgob,Trundle,27135.48,top,Inoue,Sett,39445.16
1360997,BRCC,0,05/05/20,10.01,Intergalaxy Tigers Gaming,Pantheon,Nautilus,Irelia,Cho'Gath,Gragas,0,Santos e-Sports,Graves,Senna,Xayah,Morgana,LeBlanc,sup,Nano,Pyke,22566.57,bot,Juzo,Viktor,61936.78,mid,Deoxys,Sylas,50221.28,jng,Bgob,Lee Sin,34610.33,top,Inoue,Renekton,51395.74,sup,Rainbow,Rakan,29110.03,bot,JackPoT,Yasuo,59113.68,mid,Sarkis,Ziggs,108196.96,jng,Hyoga,Sejuani,37648.63,top,Hawk,Kled,5323.04
1360998,BRCC,0,06/05/20,10.01,Falkol,Sett,Pantheon,Renekton,Thresh,Leona,1,RED Canids,Varus,Senna,Graves,Trundle,Elise,sup,Riyev,Nautilus,12615.53,bot,Matsukaze,Vel'Koz,38795.29,mid,Evrot,Jayce,64500.71,jng,Tierwulf,Lee Sin,18511.06,top,Buggax,Mordekaiser,55366.59,sup,Woodboy,Rakan,10466.82,bot,TitaN,Lucian,42361.41,mid,Grevthar,Syndra,23776.94,jng,Aegis,Jarvan IV,14764.24,top,Ayel,Ornn,29751.53
