gameId,league,playoffs,date,10.01,t1_playerid,t1_ban1,t1_ban2,t1_ban3,t1_ban4,t1_ban5,t1_result,t2_playerid,t2_ban1,t2_ban2,t2_ban3,t2_ban4,t2_ban5,t1p1_position,t1p1_player,t1p1_champion,t1p1_dpm,t1p2_position,t1p2_player,t1p2_champion,t1p2_dpm,t1p3_position,t1p3_player,t1p3_champion,t1p3_dpm,t1p4_position,t1p4_player,t1p4_champion,t1p4_dpm,t1p5_position,t1p5_player,t1p5_champion,t1p5_dpm,t2p1_position,t2p1_player,t2p1_champion,t2p1_dpm,t2p2_position,t2p2_player,t2p2_champion,t2p2_dpm,t2p3_position,t2p3_player,t2p3_champion,t2p3_dpm,t2p4_position,t2p4_player,t2p4_champion,t2p4_dpm,t2p5_position,t2p5_player,t2p5_champion,t2p5_dpm
1292341,BRCC,0,04/02/2020 0:19,10.01,RED Canids,Elise,Rumble,Sett,Mordekaiser,Irelia,0,Havan Liberty Gaming,Akali,Aphelios,Thresh,Yasuo,Braum,sup,Woodboy,Rakan,169.493,bot,TitaN,Xayah,6.759.008,mid,Sky,Lucian,5.260.626,jng,Revolta,Gragas,2.861.489,top,Ayel,Ornn,4.458.468,sup,esA,Leona,1.278.533,bot,flare,Varus,5.158.576,mid,dyNquedo,Diana,5.411.219,jng,CarioK,Olaf,4.128.155,top,Hidan,Aatrox,4.065.588
1292348,BRCC,0,04/02/2020 1:15,10.01,Santos e-Sports,Rakan,Rumble,Sett,Leona,Nautilus,1,Team oNe eSports,Akali,Olaf,Qiyana,Irelia,Camille,sup,Hawk,Braum,1.380.382,bot,Sarkis,Miss Fortune,4.183.185,mid,Rainbow,Viktor,7.943.694,jng,Hyoga,Jarvan IV,1.614.268,top,JackPoT,Fiora,3.882.803,sup,Hanabi,Blitzcrank,118.051,bot,pbO,Xayah,3.021.783,mid,Brucer,LeBlanc,3.791.847,jng,Ryuzaki,Gragas,3.614.904,top,SkyBart,Aatrox,2.370.955
1292353,BRCC,0,04/02/2020 2:05,10.01,Falkol,Elise,Renekton,Pantheon,LeBlanc,Jarvan IV,1,Intergalaxy Tigers Gaming,Akali,Qiyana,Lucian,Aatrox,Gragas,sup,Riyev,Leona,1.409.786,bot,Matsukaze,Aphelios,5.923.932,mid,Evrot,Syndra,433.879,jng,Tierwulf,Lee Sin,2.008.719,top,Buggax,Mordekaiser,5.102.402,sup,Nano,Rakan,1.647.598,bot,Inoue,Xayah,3.117.972,mid,Snowlz,Cassiopeia,4.247.242,jng,Bgob,Rek'Sai,2.205.694,top,Eradan,Sett,373.879
1302501,BRCC,0,04/02/2020 23:51,10.01,Team oNe eSports,Thresh,Lucian,Qiyana,Nautilus,Alistar,0,RED Canids,Rakan,Rumble,Akali,LeBlanc,Diana,sup,Hanabi,Leona,1.062.379,bot,pbO,Aphelios,5.462.257,mid,Brucer,Karma,339.284,jng,Ryuzaki,Elise,2.959.223,top,SkyBart,Sett,3.334.223,sup,Woodboy,Braum,161.25,bot,TitaN,Kai'Sa,209.818,mid,Sky,Yasuo,367.5,jng,Revolta,Lee Sin,1.548.786,top,Ayel,Renekton,3.713.956
1302519,BRCC,0,05/02/2020 0:45,10.01,Intergalaxy Tigers Gaming,Qiyana,Jarvan IV,Lucian,Yasuo,LeBlanc,0,Havan Liberty Gaming,Akali,Aphelios,Sett,Cassiopeia,Aatrox,sup,Nano,Pantheon,1.417.433,bot,Inoue,Miss Fortune,5.426.634,mid,Snowlz,Cho'Gath,295.23,jng,Bgob,Elise,4.199.516,top,Eradan,Jayce,5.416.223,sup,esA,Leona,1.246.005,bot,flare,Xayah,6.087.651,mid,dyNquedo,Rumble,5.042.373,jng,CarioK,Lee Sin,4.367.554,top,Hidan,Mordekaiser,4.569.007
1302531,BRCC,0,05/02/2020 1:48,10.01,Falkol,Lucian,Rakan,Qiyana,Rumble,LeBlanc,1,Santos e-Sports,Akali,Syndra,Sett,Lee Sin,Gragas,sup,Riyev,Braum,120.165,bot,Matsukaze,Aphelios,6.165.677,mid,Evrot,Zoe,3.433.663,jng,Tierwulf,Taliyah,4.312.541,top,Buggax,Renekton,539.835,sup,Hawk,Leona,1.139.604,bot,Sarkis,Miss Fortune,340.429,mid,Rainbow,Vel'Koz,5.380.198,jng,Hyoga,Jarvan IV,1.468.977,top,JackPoT,Kled,4.133.333
1321990,BRCC,0,02/03/2020 23:58,10.01,Team oNe eSports,Renekton,Senna,Lucian,Irelia,Mordekaiser,1,Falkol,Elise,Sett,Ornn,Gragas,Jarvan IV,sup,Hanabi,Nautilus,1.230.485,bot,pbO,Aphelios,4.550.023,mid,Brucer,Malzahar,5.960.924,jng,Ryuzaki,Sejuani,2.434.365,top,SkyBart,Jayce,7.417.552,sup,Riyev,Taric,1.119.908,bot,Matsukaze,Miss Fortune,3.766.559,mid,Evrot,Zoe,4.293.949,jng,Tierwulf,Lee Sin,915.104,top,Buggax,Kled,3.667.621
1322005,BRCC,0,03/03/2020 0:56,10.1,RED Canids,Elise,Pantheon,Ornn,Yuumi,Olaf,1,Intergalaxy Tigers Gaming,Thresh,Lucian,Lee Sin,Karthus,Kindred,sup,Woodboy,Tahm Kench,1.321.879,bot,TitaN,Senna,6.153.662,mid,Sky,Azir,8.304.376,jng,Revolta,Jarvan IV,2.053.432,top,Ayel,Sett,5.603.409,sup,Nano,Nami,118.784,bot,Inoue,Ezreal,6.228.558,mid,Snowlz,Orianna,4.589.682,jng,Bgob,Trundle,1.534.408,top,Eradan,Renekton,2.903.823
1322029,BRCC,0,03/03/2020 1:56,10.1,Havan Liberty Gaming,Irelia,LeBlanc,Ornn,Viktor,Syndra,0,Santos e-Sports,Elise,Lee Sin,Sett,Renekton,Yuumi,sup,esA,Senna,3.045.913,bot,flare,Ezreal,3.010.783,mid,dyNquedo,Zoe,2.813.217,jng,CarioK,Olaf,1.313.391,top,Hidan,Aatrox,1.686.957,sup,Hawk,Tahm Kench,1.432.348,bot,Sarkis,Lucian,261.287,mid,Rainbow,Malzahar,4.322.087,jng,Hyoga,Sejuani,867.826,top,JackPoT,Camille,3.650.435
1332488,BRCC,0,03/03/2020 23:47,10.1,Intergalaxy Tigers Gaming,Jayce,Aphelios,LeBlanc,Jarvan IV,Sejuani,0,Team oNe eSports,Ornn,Elise,Lucian,Olaf,Rek'Sai,sup,Nano,Rakan,1.389.985,bot,Inoue,Xayah,3.507.511,mid,Deoxys,Diana,6.171.723,jng,Bgob,Lee Sin,1.465.685,top,Eradan,Sett,365.243,sup,Panj,Nautilus,1.487.776,bot,pbO,Miss Fortune,4.068.925,mid,Brucer,Malzahar,6.710.162,jng,Ryuzaki,Gragas,3.804.713,top,SkyBart,Renekton,5.401.473
1332508,BRCC,0,04/03/2020 0:51,10.1,Falkol,Olaf,Yasuo,Irelia,Zed,Renekton,1,Havan Liberty Gaming,Ornn,Sett,Senna,Zoe,Syndra,sup,Riyev,Leona,1.662.371,bot,Matsukaze,Aphelios,5.531.637,mid,Evrot,Cassiopeia,4.155.348,jng,Tierwulf,Sylas,2.837.242,top,Buggax,Aatrox,6.818.621,sup,esA,Rakan,1.661.405,bot,flare,Xayah,5.286.727,mid,dyNquedo,Pantheon,2.422.616,jng,CarioK,Karthus,811.875,top,Hidan,Gangplank,6.414.433
1332530,BRCC,0,04/03/2020 2:00,10.1,Santos e-Sports,Elise,Thresh,Lee Sin,Yuumi,Rakan,1,RED Canids,Sett,Senna,Ornn,Viktor,Syndra,sup,Hawk,Braum,2.600.596,bot,Sarkis,Aphelios,8.425.717,mid,Rainbow,LeBlanc,5.345.881,jng,Hyoga,Sejuani,3.077.376,top,JackPoT,Pantheon,4.871.338,sup,Woodboy,Leona,1.035.408,bot,TitaN,Ezreal,6.439.881,mid,Sky,Jayce,4.808.945,jng,Revolta,Karthus,701.394,top,Ayel,Renekton,378.047
1335351,BRCC,0,09/03/2020 23:55,10.1,RED Canids,Pantheon,Senna,Kalista,Lee Sin,Olaf,1,Falkol,Yasuo,Sett,Ornn,LeBlanc,Renekton,sup,Woodboy,Braum,882.702,bot,TitaN,Aphelios,8.796.376,mid,Sky,Galio,5.664.662,jng,Revolta,Jarvan IV,1.702.883,top,Ayel,Poppy,2.618.699,sup,Riyev,Rakan,889.868,bot,Matsukaze,Miss Fortune,5.160.791,mid,Evrot,Zoe,5.243.575,jng,Tierwulf,Sejuani,1.682.619,top,Buggax,Gangplank,8.205.519
1335365,BRCC,0,10/03/2020 0:58,10.1,Santos e-Sports,Renekton,Elise,Sett,LeBlanc,Talon,1,Intergalaxy Tigers Gaming,Senna,Pantheon,Ornn,Fiora,Jax,sup,Hawk,Braum,1.907.234,bot,Sarkis,Aphelios,373.234,mid,Rainbow,Mordekaiser,4.642.553,jng,Hyoga,Sejuani,2.160.426,top,JackPoT,Akali,7.010.213,sup,Nano,Rakan,860.426,bot,Inoue,Xayah,2.314.468,mid,Deoxys,Sylas,1.908.511,jng,Bgob,Trundle,1.265.957,top,Eradan,Camille,3.612.766
1335382,BRCC,0,10/03/2020 1:45,10.01,Havan Liberty Gaming,Jayce,Renekton,Kalista,Jarvan IV,Karthus,1,Team oNe eSports,Lucian,Senna,Ornn,Yasuo,Aphelios,sup,esA,Nautilus,1.548.341,bot,flare,Ezreal,6.486.003,mid,dyNquedo,Sylas,4.965.368,jng,CarioK,Sejuani,2.093.218,top,Hidan,Sett,3.260.606,sup,Panj,Morgana,115.873,bot,pbO,Miss Fortune,2.994.805,mid,Brucer,Rumble,3.523.521,jng,Ryuzaki,Gragas,2.312.843,top,SkyBart,Gangplank,6.087.446
1335587,BRCC,0,10/03/2020 22:35,10.01,Intergalaxy Tigers Gaming,Zoe,Kalista,Pantheon,Gangplank,Sejuani,0,Falkol,Elise,Ornn,Aphelios,Trundle,Jarvan IV,sup,Nano,Karma,1.836.374,bot,Juzo,Senna,5.403.464,mid,Deoxys,LeBlanc,2.874.249,jng,Bgob,Lee Sin,1.828.406,top,Eradan,Sett,1.572.055,sup,Riyev,Tahm Kench,818.591,bot,Matsukaze,Varus,5.011.663,mid,Evrot,Syndra,4.681.178,jng,Tierwulf,Ekko,1.444.573,top,Buggax,Vayne,8.312.356
1335631,BRCC,0,11/03/2020 0:49,10.01,Havan Liberty Gaming,Karthus,Yasuo,Senna,Gragas,LeBlanc,1,RED Canids,Sett,Pantheon,Sejuani,Olaf,Jarvan IV,sup,esA,Rakan,1.320.579,bot,flare,Xayah,2.933.736,mid,dyNquedo,Zoe,5.302.595,jng,CarioK,Rek'Sai,2.014.725,top,Hidan,Ornn,1.526.614,sup,Woodboy,Braum,1.017.139,bot,TitaN,Aphelios,1.708.751,mid,Sky,Azir,3.030.416,jng,Revolta,Lee Sin,402.293,top,Ayel,Mordekaiser,2.498.491
1335641,BRCC,0,11/03/2020 1:42,10.01,Team oNe eSports,Lucian,Pantheon,Sejuani,Mordekaiser,LeBlanc,0,Santos e-Sports,Aphelios,Elise,Ornn,Karthus,Jarvan IV,sup,Panj,Volibear,144,bot,pbO,Senna,2.949.545,mid,Brucer,Sett,3.428.455,jng,Ryuzaki,Taliyah,6.635.455,top,SkyBart,Gangplank,8.086.364,sup,Hawk,Tahm Kench,2.575.364,bot,Sarkis,Varus,6.056.727,mid,Rainbow,Viktor,8.266.091,jng,Hyoga,Gragas,4.419.818,top,JackPoT,Aatrox,6.406.636
1341224,BRCC,0,13/04/2020 23:37,10.01,Havan Liberty Gaming,Elise,Trundle,Senna,Miss Fortune,Ezreal,1,Intergalaxy Tigers Gaming,Nautilus,Sett,Kalista,Karthus,Ornn,sup,esA,Thresh,2.023.545,bot,flare,Aphelios,3.994.515,mid,dyNquedo,Corki,7.985.418,jng,CarioK,Lee Sin,3.647.358,top,Hidan,Pantheon,4.627.826,sup,Nano,Bard,1.267.425,bot,Juzo,Akali,1.422.742,mid,Deoxys,Talon,215.398,jng,Bgob,Olaf,2.300.067,top,Eradan,Zac,2.031.973
1341231,BRCC,0,14/04/2020 0:39,10.01,Santos e-Sports,Varus,Sett,Aphelios,Taliyah,Miss Fortune,0,Falkol,Sejuani,Senna,Pantheon,Jarvan IV,Akali,sup,Hawk,Thresh,2.374.767,bot,Sarkis,Kalista,3.363.975,mid,Rainbow,Azir,8.008.336,jng,Hyoga,Olaf,3.405.061,top,JackPoT,Jax,6.925.344,sup,Riyev,Nautilus,1.011.984,bot,Matsukaze,Ezreal,6.786.453,mid,Evrot,Syndra,5.867.361,jng,Tierwulf,Ekko,5.112.393,top,Buggax,Renekton,6.958.839
1341239,BRCC,0,14/04/2020 1:49,10.01,RED Canids,Olaf,Senna,Varus,Nautilus,Morgana,0,Team oNe eSports,Kalista,Sett,Zoe,Yasuo,Thresh,sup,Woodboy,Alistar,120.287,bot,TitaN,Aphelios,3.841.304,mid,Grevthar,Irelia,3.439.043,jng,Aegis,Gragas,3.505.565,top,Ayel,Ornn,3.524.609,sup,Panj,Leona,1.317.913,bot,pbO,Syndra,6.148.174,mid,Brucer,Corki,8.652.261,jng,Ryuzaki,Lee Sin,3.699.391,top,SkyBart,Renekton,5.310.522
1341417,BRCC,0,14/04/2020 23:26,10.01,Santos e-Sports,Lee Sin,Elise,Aphelios,Karthus,LeBlanc,1,Havan Liberty Gaming,Senna,Pantheon,Thresh,Azir,Sejuani,sup,Hawk,Nautilus,1.879.308,bot,Sarkis,Varus,3.299.292,mid,Rainbow,Vel'Koz,9.691.109,jng,Hyoga,Trundle,3.646.263,top,JackPoT,Irelia,4.056.019,sup,esA,Rakan,1.648.466,bot,flare,Xayah,3.780.803,mid,dyNquedo,Diana,3.282.297,jng,CarioK,Olaf,3.631.629,top,Hidan,Sett,3.817.624
1341434,BRCC,0,15/04/2020 0:57,10.01,Falkol,Senna,Renekton,Aphelios,Ekko,LeBlanc,0,Team oNe eSports,Kalista,Sett,Azir,Jarvan IV,Gragas,sup,Riyev,Rakan,548.862,bot,Matsukaze,Xayah,2.071.103,mid,Evrot,Syndra,2.435.026,jng,Tierwulf,Nocturne,1.908.932,top,Buggax,Malphite,3.597.198,sup,Panj,Nautilus,1.438.179,bot,pbO,Varus,2.353.765,mid,Brucer,Malzahar,2.969.527,jng,Ryuzaki,Lee Sin,1.402.452,top,SkyBart,Sylas,6.329.947
1341441,BRCC,0,15/04/2020 1:58,10.01,Intergalaxy Tigers Gaming,Jarvan IV,Karthus,Thresh,Zoe,Akali,0,RED Canids,Pantheon,Olaf,Elise,Tahm Kench,Nautilus,sup,Nano,Morgana,4.544.023,bot,Juzo,Senna,6.406.706,mid,Deoxys,Azir,4.694.461,jng,Bgob,Trundle,286.414,top,Eradan,Renekton,3.500.875,sup,Woodboy,Blitzcrank,1.769.971,bot,TitaN,Kalista,5.542.274,mid,Grevthar,Viktor,8.588.338,jng,Aegis,Lee Sin,3.604.082,top,Ayel,Sett,6.297.376
